# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V0772	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Вопрос не должен выдавать ответ — это спойлер, так делать никогда не нужно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 21) — вопрос, который выдаёт ответ. Правило на весь курс, строки 676–676	текст	замечание	зачем в 25 задаче спрашивать, зависит ли она от n? это же спойлер. не нужно так делать никогда
V0773	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Последние слайды — в запускаемую анимацию, чтобы росло само	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 22) — два показа слиты в один. Слияние вскрыло, что гейты проверяли только мои привычки, с	визуал	замечание	последние слайды превратить в анимацию, которую можно запустить, чтобы оно само постепенно росло
V0774	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Границу показывать вместе с драконом, а не отдельно	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 22) — два показа слиты в один. Слияние вскрыло, что гейты проверяли только мои привычки, с	визуал	спорное	границу показывать с драконом вместе
V0775	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Все разборы соединить в один показ	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 22) — два показа слиты в один. Слияние вскрыло, что гейты проверяли только мои привычки, с	структура лекции	замечание	весь этот разбор соединить с предыдущим, где были анимации про кривую дракона, в одну
V0776	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	У всех интересных задач должны быть иллюстрации	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 22) — два показа слиты в один. Слияние вскрыло, что гейты проверяли только мои привычки, с	визуал	замечание	у всех интересных задач сделать иллюстрации
V0777	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	Последние задачи в оглавлении уехали за пределы поля	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 23) — панель вкладок не влезла. Гейты этого не видят по устройству, строки 717–717	визуал	замечание	последние задачи в оглавлении уехали за пределы поля
V0778	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md	В оглавлении названий не надо, достаточно чисел	_studio/zhurnal/2026-07-16_krivaya-drakona/SESSIYA.md#2026-07-19 (ход 23) — панель вкладок не влезла. Гейты этого не видят по устройству, строки 717–717	визуал	замечание	названия в оглавлении плашки не нужны, достаточно чисел
V0779	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md	Владелец хочет, чтобы лекцию заранее считали двухчасовой — потому что в ней много вопросов и обсуждений	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	процедура	замечание	«но там много вопросов, много обсуждений, поэтому реально мы заранее считаем, что она идёт 2 часа»
V0780	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md	Не влезли сюжеты в 90 минут — владелец будет рассказывать быстрее, а не резать материал	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	структура лекции	замечание	«если окажется, что у нас так много сюжетов, что они в 90 минут не влезают, значит просто буду быстрее рассказывать»
V0781	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md	Носитель лекции — слайды: владелец хочет говорить и писать на них	_studio/zhurnal/2026-07-25_lekcia-1/SESSIYA.md#2026-07-25 — Ф0 ИНТЕРВЬЮ, круг 1–2 (решения владельца), строки 35–38	визуал	замечание	«в целом я хочу говорить на слайдах, писать»
